mysql> select * from Dates_D;
+---------+------------+-----------+-------------+--------------+-------------+--------------+------------+---------+--------------+-----------+---------------+-----------------+------+
| date_id | date       | day       | day_of_week | day_of_month | day_of_year | previous_day | next_day   | weekend | week_of_year | month     | month_of_year | quarter_of_year | year |
|     115 | 2010-04-26 | Monday    |           2 |           26 |         116 | 2010-04-25   | 2010-04-27 | Weekday | 17           | April     | 04            |               2 | 2010 |
|     116 | 2010-04-27 | Tuesday   |           3 |           27 |         117 | 2010-04-26   | 2010-04-28 | Weekday | 17           | April     | 04            |               2 | 2010 |
|     117 | 2010-04-28 | Wednesday |           4 |           28 |         118 | 2010-04-27   | 2010-04-29 | Weekday | 17           | April     | 04            |               2 | 2010 |
|     118 | 2010-04-29 | Thursday  |           5 |           29 |         119 | 2010-04-28   | 2010-04-30 | Weekday | 17           | April     | 04            |               2 | 2010 |
|     119 | 2010-04-30 | Friday    |           6 |           30 |         120 | 2010-04-29   | 2010-05-01 | Weekday | 17           | April     | 04            |               2 | 2010 |
|     120 | 2010-05-01 | Saturday  |           7 |            1 |         121 | 2010-04-30   | 2010-05-02 | Weekend | 17           | May       | 05            |               2 | 2010 |
|     121 | 2010-05-02 | Sunday    |           1 |            2 |         122 | 2010-05-01   | 2010-05-03 | Weekend | 18           | May       | 05            |               2 | 2010 |
|     122 | 2010-05-03 | Monday    |           2 |            3 |         123 | 2010-05-02   | 2010-05-04 | Weekday | 18           | May       | 05            |               2 | 2010 |
|     123 | 2010-05-04 | Tuesday   |           3 |            4 |         124 | 2010-05-03   | 2010-05-05 | Weekday | 18           | May       | 05            |               2 | 2010 |
|     124 | 2010-05-05 | Wednesday |           4 |            5 |         125 | 2010-05-04   | 2010-05-06 | Weekday | 18           | May       | 05            |               2 | 2010 |
|     125 | 2010-05-06 | Thursday  |           5 |            6 |         126 | 2010-05-05   | 2010-05-07 | Weekday | 18           | May       | 05            |               2 | 2010 |
|     126 | 2010-05-07 | Friday    |           6 |            7 |         127 | 2010-05-06   | 2010-05-08 | Weekday | 18           | May       | 05            |               2 | 2010 |
|     127 | 2010-05-08 | Saturday  |           7 |            8 |         128 | 2010-05-07   | 2010-05-09 | Weekend | 18           | May       | 05            |               2 | 2010 |
|     128 | 2010-05-09 | Sunday    |           1 |            9 |         129 | 2010-05-08   | 2010-05-10 | Weekend | 19           | May       | 05            |               2 | 2010 |
|     129 | 2010-05-10 | Monday    |           2 |           10 |         130 | 2010-05-09   | 2010-05-11 | Weekday | 19           | May       | 05            |               2 | 2010 |
|     130 | 2010-05-11 | Tuesday   |           3 |           11 |         131 | 2010-05-10   | 2010-05-12 | Weekday | 19           | May       | 05            |               2 | 2010 |
|     131 | 2010-05-12 | Wednesday |           4 |           12 |         132 | 2010-05-11   | 2010-05-13 | Weekday | 19           | May       | 05            |               2 | 2010 |
|     132 | 2010-05-13 | Thursday  |           5 |           13 |         133 | 2010-05-12   | 2010-05-14 | Weekday | 19           | May       | 05            |               2 | 2010 |
|     133 | 2010-05-14 | Friday    |           6 |           14 |         134 | 2010-05-13   | 2010-05-15 | Weekday | 19           | May       | 05            |               2 | 2010 |
|     134 | 2010-05-15 | Saturday  |           7 |           15 |         135 | 2010-05-14   | 2010-05-16 | Weekend | 19           | May       | 05            |               2 | 2010 |
|     135 | 2010-05-16 | Sunday    |           1 |           16 |         136 | 2010-05-15   | 2010-05-17 | Weekend | 20           | May       | 05            |               2 | 2010 |
|     136 | 2010-05-17 | Monday    |           2 |           17 |         137 | 2010-05-16   | 2010-05-18 | Weekday | 20           | May       | 05            |               2 | 2010 |
|     137 | 2010-05-18 | Tuesday   |           3 |           18 |         138 | 2010-05-17   | 2010-05-19 | Weekday | 20           | May       | 05            |               2 | 2010 |
|     138 | 2010-05-19 | Wednesday |           4 |           19 |         139 | 2010-05-18   | 2010-05-20 | Weekday | 20           | May       | 05            |               2 | 2010 |
|     139 | 2010-05-20 | Thursday  |           5 |           20 |         140 | 2010-05-19   | 2010-05-21 | Weekday | 20           | May       | 05            |               2 | 2010 |
|     140 | 2010-05-21 | Friday    |           6 |           21 |         141 | 2010-05-20   | 2010-05-22 | Weekday | 20           | May       | 05            |               2 | 2010 |
|     141 | 2010-05-22 | Saturday  |           7 |           22 |         142 | 2010-05-21   | 2010-05-23 | Weekend | 20           | May       | 05            |               2 | 2010 |
|     142 | 2010-05-23 | Sunday    |           1 |           23 |         143 | 2010-05-22   | 2010-05-24 | Weekend | 21           | May       | 05            |               2 | 2010 |
|     143 | 2010-05-24 | Monday    |           2 |           24 |         144 | 2010-05-23   | 2010-05-25 | Weekday | 21           | May       | 05            |               2 | 2010 |
|     144 | 2010-05-25 | Tuesday   |           3 |           25 |         145 | 2010-05-24   | 2010-05-26 | Weekday | 21           | May       | 05            |               2 | 2010 |
|     145 | 2010-05-26 | Wednesday |           4 |           26 |         146 | 2010-05-25   | 2010-05-27 | Weekday | 21           | May       | 05            |               2 | 2010 |
|     146 | 2010-05-27 | Thursday  |           5 |           27 |         147 | 2010-05-26   | 2010-05-28 | Weekday | 21           | May       | 05            |               2 | 2010 |
|     147 | 2010-05-28 | Friday    |           6 |           28 |         148 | 2010-05-27   | 2010-05-29 | Weekday | 21           | May       | 05            |               2 | 2010 |
|     148 | 2010-05-29 | Saturday  |           7 |           29 |         149 | 2010-05-28   | 2010-05-30 | Weekend | 21           | May       | 05            |               2 | 2010 |
|     149 | 2010-05-30 | Sunday    |           1 |           30 |         150 | 2010-05-29   | 2010-05-31 | Weekend | 22           | May       | 05            |               2 | 2010 |
|     150 | 2010-05-31 | Monday    |           2 |           31 |         151 | 2010-05-30   | 2010-06-01 | Weekday | 22           | May       | 05            |               2 | 2010 |
|     151 | 2010-06-01 | Tuesday   |           3 |            1 |         152 | 2010-05-31   | 2010-06-02 | Weekday | 22           | June      | 06            |               2 | 2010 |
|     152 | 2010-06-02 | Wednesday |           4 |            2 |         153 | 2010-06-01   | 2010-06-03 | Weekday | 22           | June      | 06            |               2 | 2010 |
|     153 | 2010-06-03 | Thursday  |           5 |            3 |         154 | 2010-06-02   | 2010-06-04 | Weekday | 22           | June      | 06            |               2 | 2010 |
|     154 | 2010-06-04 | Friday    |           6 |            4 |         155 | 2010-06-03   | 2010-06-05 | Weekday | 22           | June      | 06            |               2 | 2010 |
|     155 | 2010-06-05 | Saturday  |           7 |            5 |         156 | 2010-06-04   | 2010-06-06 | Weekend | 22           | June      | 06            |               2 | 2010 |
|     156 | 2010-06-06 | Sunday    |           1 |            6 |         157 | 2010-06-05   | 2010-06-07 | Weekend | 23           | June      | 06            |               2 | 2010 |
|     157 | 2010-06-07 | Monday    |           2 |            7 |         158 | 2010-06-06   | 2010-06-08 | Weekday | 23           | June      | 06            |               2 | 2010 |
|     158 | 2010-06-08 | Tuesday   |           3 |            8 |         159 | 2010-06-07   | 2010-06-09 | Weekday | 23           | June      | 06            |               2 | 2010 |
|     159 | 2010-06-09 | Wednesday |           4 |            9 |         160 | 2010-06-08   | 2010-06-10 | Weekday | 23           | June      | 06            |               2 | 2010 |
|     160 | 2010-06-10 | Thursday  |           5 |           10 |         161 | 2010-06-09   | 2010-06-11 | Weekday | 23           | June      | 06            |               2 | 2010 |
|     161 | 2010-06-11 | Friday    |           6 |           11 |         162 | 2010-06-10   | 2010-06-12 | Weekday | 23           | June      | 06            |               2 | 2010 |
|     162 | 2010-06-12 | Saturday  |           7 |           12 |         163 | 2010-06-11   | 2010-06-13 | Weekend | 23           | June      | 06            |               2 | 2010 |
|     163 | 2010-06-13 | Sunday    |           1 |           13 |         164 | 2010-06-12   | 2010-06-14 | Weekend | 24           | June      | 06            |               2 | 2010 |
|     164 | 2010-06-14 | Monday    |           2 |           14 |         165 | 2010-06-13   | 2010-06-15 | Weekday | 24           | June      | 06            |               2 | 2010 |
|     165 | 2010-06-15 | Tuesday   |           3 |           15 |         166 | 2010-06-14   | 2010-06-16 | Weekday | 24           | June      | 06            |               2 | 2010 |
|     166 | 2010-06-16 | Wednesday |           4 |           16 |         167 | 2010-06-15   | 2010-06-17 | Weekday | 24           | June      | 06            |               2 | 2010 |
|     167 | 2010-06-17 | Thursday  |           5 |           17 |         168 | 2010-06-16   | 2010-06-18 | Weekday | 24           | June      | 06            |               2 | 2010 |
|     168 | 2010-06-18 | Friday    |           6 |           18 |         169 | 2010-06-17   | 2010-06-19 | Weekday | 24           | June      | 06            |               2 | 2010 |
|     169 | 2010-06-19 | Saturday  |           7 |           19 |         170 | 2010-06-18   | 2010-06-20 | Weekend | 24           | June      | 06            |               2 | 2010 |
|     170 | 2010-06-20 | Sunday    |           1 |           20 |         171 | 2010-06-19   | 2010-06-21 | Weekend | 25           | June      | 06            |               2 | 2010 |
|     171 | 2010-06-21 | Monday    |           2 |           21 |         172 | 2010-06-20   | 2010-06-22 | Weekday | 25           | June      | 06            |               2 | 2010 |
|     172 | 2010-06-22 | Tuesday   |           3 |           22 |         173 | 2010-06-21   | 2010-06-23 | Weekday | 25           | June      | 06            |               2 | 2010 |
|     173 | 2010-06-23 | Wednesday |           4 |           23 |         174 | 2010-06-22   | 2010-06-24 | Weekday | 25           | June      | 06            |               2 | 2010 |
